Name,Uni,Unnamed: 2,OnActv,IL,Age,B,T,Ht,Wt,DoB,1stYr
Andrew Heaney,44.0,Pitcher,*,-,32,L,L,"6' 2""",200,5-Jun-91,2011
Zak Kent,78.0,Pitcher,*,-,25,R,R,"6' 3""",208,24-Feb-98,2017
Yerry Rodriguez,57.0,Pitcher,*,-,25,R,R,"6' 2""",198,15-Oct-97,2016
Tyler Mahle,51.0,Pitcher,*,-,28,R,R,"6' 3""",210,29-Sep-94,2013
Owen White,43.0,Pitcher,*,-,23,R,R,"6' 3""",199,9-Aug-99,2021
Nathan Eovaldi,17.0,Pitcher,*,-,33,R,R,"6' 2""",217,13-Feb-90,2008
Max Scherzer,31.0,Pitcher,*,-,38,R,R,"6' 3""",208,27-Jul-84,2007
Marc Church,68.0,Pitcher,*,-,22,R,R,"6' 3""",189,30-Mar-01,2021
Kirby Yates,39.0,Pitcher,*,-,36,L,R,"5' 10""",205,25-Mar-87,2009
Josh Sborz,66.0,Pitcher,*,-,29,R,R,"6' 3""",215,17-Dec-93,2013
Jose Leclerc,25.0,Pitcher,*,-,29,R,R,"6' 0""",195,19-Dec-93,2011
Jose Corniell,87.0,Pitcher,*,-,20,R,R,"6' 3""",165,22-Jun-03,2021
Jonathan Hernandez,72.0,Pitcher,*,-,26,R,R,"6' 3""",190,6-Jul-96,2013
Jon Gray,22.0,Pitcher,*,-,31,R,R,"6' 4""",225,5-Nov-91,2012
Jake Latz,67.0,Pitcher,*,-,27,R,L,"6' 2""",185,8-Apr-96,2016
Grant Anderson,65.0,Pitcher,*,-,26,R,R,"6' 0""",180,21-Jun-97,2016
Jacob deGrom,48.0,Pitcher,*,-,35,L,R,"6' 4""",180,19-Jun-88,2010
Antoine Kelly,70.0,Pitcher,*,-,23,L,L,"6' 5""",205,5-Dec-99,2019
David Robertson,37.0,Pitcher,*,-,38,R,R,"5' 11""",195,9-Apr-85,2007
Brock Burke,46.0,Pitcher,*,-,26,L,L,"6' 4""",210,4-Aug-96,2014
Dane Dunning,33.0,Pitcher,*,-,28,R,R,"6' 4""",225,20-Dec-94,2014
Carson Coleman,84.0,Pitcher,*,-,25,R,R,"6' 2""",190,7-Apr-98,2017
Cody Bradford,61.0,Pitcher,*,-,25,L,L,"6' 4""",197,22-Feb-98,2017
Cole Winn,60.0,Pitcher,*,-,23,R,R,"6' 2""",190,25-Nov-99,2019
Adolis Garcia,53.0,Position,*,-,30,R,R,"6' 1""",205,2-Mar-93,2011
Andrew Knizner,12.0,Position,*,-,28,R,R,"6' 1""",225,3-Feb-95,2014
Travis Jankowski,16.0,Position,*,-,32,L,R,"6' 2""",190,15-Jun-91,2010
Sam Huff,55.0,Position,*,-,25,R,R,"6' 4""",240,14-Jan-98,2016
Nathaniel Lowe,30.0,Position,*,-,27,L,R,"6' 4""",220,7-Jul-95,2014
Marcus Semien,2.0,Position,*,-,32,R,R,"6' 0""",195,17-Sep-90,2011
Leody Taveras,3.0,Position,*,-,24,S,R,"6' 2""",195,8-Sep-98,2016
Corey Seager,5.0,Position,*,-,29,L,R,"6' 4""",215,27-Apr-94,2012
Justin Foscue,56.0,Position,*,-,24,R,R,"5' 11""",205,2-Mar-99,2018
Josh Jung,6.0,Position,*,-,25,R,R,"6' 2""",214,12-Feb-98,2017
Josh H. Smith,47.0,Position,*,-,25,L,R,"5' 10""",172,7-Aug-97,2016
Dustin Harris,67.0,Position,*,-,23,L,R,"6' 3""",185,8-Jul-99,2018
Jonathan Ornelas,36.0,Position,*,-,23,R,R,"6' 0""",196,26-May-00,2018
Evan Carter,32.0,Position,*,-,20,L,R,"6' 2""",190,29-Aug-02,2021
Jonah Heim,28.0,Position,*,-,28,S,R,"6' 4""",220,27-Jun-95,2013
Ezequiel Duran,20.0,Position,*,-,24,R,R,"5' 11""",185,22-May-99,2017
Hunter Brown,58.0,Pitcher,*,-,24,R,R,"6' 2""",212,29-Aug-98,2017
Luis Garcia,77.0,Pitcher,*,-,26,R,R,"5' 11""",244,13-Dec-96,2017
Lance McCullers Jr.,43.0,Pitcher,*,-,29,L,R,"6' 1""",202,2-Oct-93,2012
Oliver Ortega,-,Pitcher,*,-,26,R,R,"6' 0""",165,2-Oct-96,2015
Justin Verlander,35.0,Pitcher,*,-,40,R,R,"6' 5""",235,20-Feb-83,2005
Josh Hader,71.0,Pitcher,*,-,29,L,L,"5' 11""",180,7-Apr-94,2012
Jose Urquidy,65.0,Pitcher,*,-,28,R,R,"6' 0""",217,1-May-95,2015
Kendall Graveman,31.0,Pitcher,*,-,32,R,R,"6' 2""",200,21-Dec-90,2011
Parker Mushinski,67.0,Pitcher,*,-,27,L,L,"6' 0""",218,22-Nov-95,2015
Rafael Montero,47.0,Pitcher,*,-,32,R,R,"6' 0""",190,17-Oct-90,2011
Ronel Blanco,56.0,Pitcher,*,-,29,R,R,"6' 0""",180,31-Aug-93,2016
Ryan Pressly,55.0,Pitcher,*,-,34,R,R,"6' 2""",206,15-Dec-88,2008
J.P. France,68.0,Pitcher,*,-,28,R,R,"6' 0""",216,4-Apr-95,2014
Seth Martinez,61.0,Pitcher,*,-,28,R,R,"6' 2""",200,29-Aug-94,2014
Framber Valdez,59.0,Pitcher,*,-,29,R,L,"5' 11""",239,19-Nov-93,2015
Forrest Whitley,60.0,Pitcher,*,-,25,R,R,"6' 7""",238,15-Sep-97,2016
Dylan Coleman,-,Pitcher,*,-,26,R,R,"6' 5""",230,16-Sep-96,2016
Shawn Dubin,66.0,Pitcher,*,-,27,R,R,"6' 1""",171,6-Sep-95,2016
Cristian Javier,53.0,Pitcher,*,-,26,R,R,"6' 1""",213,26-Mar-97,2015
Bryan Abreu,52.0,Pitcher,*,-,26,R,R,"6' 1""",225,22-Apr-97,2014
Brandon Bielak,64.0,Pitcher,*,-,27,L,R,"6' 2""",208,2-Apr-96,2015
Bennett Sousa,62.0,Pitcher,*,-,28,L,L,"6' 3""",220,6-Apr-95,2015
Jose Altuve,27.0,Position,*,-,33,R,R,"5' 6""",166,6-May-90,2007
Trey Cabbage,-,Position,*,-,26,L,R,"6' 2""",204,3-May-97,2015
Victor Caratini,-,Position,*,-,29,S,R,"5' 11""",225,17-Aug-93,2013
Yainer Diaz,21.0,Position,*,-,24,R,R,"6' 0""",195,21-Sep-98,2017
Mauricio Dubon,14.0,Position,*,-,28,R,R,"6' 0""",173,19-Jul-94,2013
Yordan Alvarez,44.0,Position,*,-,26,L,R,"6' 5""",225,27-Jun-97,2013
Kyle Tucker,30.0,Position,*,-,26,L,R,"6' 4""",199,17-Jan-97,2015
Kenedy Corona,-,Position,*,-,23,R,R,"5' 10""",184,21-Mar-00,2019
Jose Abreu,79.0,Position,*,-,36,R,R,"6' 3""",235,29-Jan-87,2003
Jon Singleton,28.0,Position,*,-,31,L,L,"6' 0""",256,18-Sep-91,2009
Jeremy Pena,3.0,Position,*,-,25,R,R,"6' 0""",202,22-Sep-97,2015
Jake Meyers,6.0,Position,*,-,27,R,L,"6' 0""",200,18-Jun-96,2015
Grae Kessinger,16.0,Position,*,-,25,R,R,"6' 1""",204,25-Aug-97,2017
