Name,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,GDP,HBP,SH,SF,IBB
CJ Abrams*,WSN,151,614,563,83,138,28,6,18,64,47,4,32,118,7,13,3,3,2
José Abreu,HOU,141,594,540,62,128,23,1,18,90,0,1,42,130,16,6,0,6,1
Wilyer Abreu*,BOS,28,85,76,10,24,6,0,2,14,3,1,9,23,0,0,0,0,0
Ronald Acuna Jr.,ATL,159,735,643,149,217,35,4,41,106,73,14,80,84,15,9,0,3,3
Willy Adames,MIL,149,638,553,73,120,29,2,24,80,5,3,71,165,12,6,0,6,1
Jordyn Adams,LAA,17,40,39,1,5,0,0,0,1,1,2,0,16,0,0,0,1,0
Riley Adams,WSN,44,158,143,8,39,13,2,4,21,0,0,11,45,5,2,1,1,0
Ty Adcock,SEA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jo Adell,LAA,17,62,58,7,12,3,1,3,6,1,0,4,25,1,0,0,0,0
Ehire Adrianza#,ATL,5,11,10,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0
Jesús Aguilar,OAK,36,115,104,8,23,2,0,5,9,0,0,8,31,3,1,0,1,2
Nick Ahmed,ARI,72,210,198,14,42,10,1,2,17,5,1,12,52,0,0,0,0,0
Hanser Alberto,CHW,30,90,82,11,18,5,0,3,16,0,0,4,13,1,1,2,1,0
Ozzie Albies#,ATL,148,660,596,96,167,30,5,33,109,13,1,46,107,9,8,0,8,2
Scott Alexander*,SFG,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jorge Alfaro,TOT,18,52,48,2,7,4,0,1,4,0,0,2,15,3,2,0,0,0
Jorge Alfaro,COL,10,32,31,2,5,4,0,1,4,0,0,0,12,2,1,0,0,0
Jorge Alfaro,BOS,8,20,17,0,2,0,0,0,0,0,0,2,3,1,1,0,0,0
Greg Allen#,NYY,22,28,23,6,5,1,1,1,1,3,1,2,10,0,2,1,0,0
Nick Allen,OAK,106,329,303,29,67,4,2,4,20,5,1,17,52,8,1,6,2,0
Abraham Almonte#,NYM,8,16,15,1,1,1,0,0,0,0,0,1,8,0,0,0,0,0
Pete Alonso,NYM,154,658,568,92,123,21,2,46,118,4,1,65,151,17,21,0,4,6
José Altuve,HOU,90,410,360,76,112,21,2,17,51,14,2,44,71,9,5,0,1,0
Jake Alu*,WSN,51,175,159,14,36,2,1,2,16,5,1,10,42,2,3,1,2,0
Francisco Álvarez,NYM,123,423,382,51,80,12,0,25,63,2,0,34,110,14,6,0,1,0
Yordan Álvarez*,HOU,114,496,410,77,120,24,1,31,97,0,0,69,92,7,13,0,4,5
Jacob Amaya,MIA,4,9,9,1,2,0,0,0,2,1,0,0,1,0,0,0,0,0
Miguel Amaya,CHC,53,156,131,17,28,4,0,5,18,0,0,12,40,2,11,1,1,0
Brian Anderson,MIL,96,361,318,38,72,12,3,9,40,1,3,36,108,10,4,0,3,0
Tim Anderson,CHW,123,524,493,52,121,18,2,1,25,13,2,26,122,15,3,0,2,0
Elvis Andrus,CHW,112,406,374,39,94,20,1,6,44,12,4,25,71,11,4,1,2,1
Miguel Andújar,PIT,30,90,84,9,21,7,0,4,18,2,0,6,13,1,0,0,0,0
Jonathan Aranda*,TBR,34,103,87,13,20,4,1,2,13,0,0,13,31,1,2,0,1,1
Jonathan Araúz#,NYM,27,66,59,3,8,0,0,3,9,0,0,5,18,1,0,2,0,0
Orlando Arcia,ATL,139,533,488,66,129,25,0,17,65,1,0,39,102,14,3,0,3,0
Nolan Arenado,STL,144,612,560,71,149,26,2,26,93,3,3,41,101,21,3,0,8,5
Gabriel Arias,CLE,122,345,315,36,66,15,0,10,26,3,4,28,113,9,1,0,1,0
Randy Arozarena,TBR,151,654,551,95,140,19,3,23,83,22,10,80,156,10,18,0,5,1
Luis Arráez*,MIA,147,617,574,71,203,30,3,10,69,3,2,35,34,18,4,1,3,10
Christian Arroyo,BOS,66,206,195,23,47,16,0,3,24,1,3,7,45,8,1,1,2,0
José Azocar,SDP,55,102,91,16,21,6,0,2,9,8,2,4,24,2,2,5,0,0
Akil Baddoo*,DET,112,357,312,40,68,13,1,11,34,14,3,42,89,4,0,2,1,2
Harrison Bader,TOT,98,344,319,44,74,12,2,7,40,20,3,17,59,7,3,1,4,0
Harrison Bader,NYY,84,310,288,40,69,11,2,7,37,17,2,14,56,6,3,1,4,0
Harrison Bader,CIN,14,34,31,4,5,1,0,0,3,3,1,3,3,1,0,0,0,0
Ji Hwan Bae*,PIT,111,371,334,54,77,17,2,2,32,24,9,30,92,4,2,3,2,0
Javier Báez,DET,136,547,510,58,113,18,4,9,59,12,0,24,125,12,9,0,3,0
Patrick Bailey#,SFG,97,353,326,29,76,18,1,7,48,1,0,21,100,8,3,2,1,0
Bryan Baker,BAL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luken Baker,STL,33,99,86,9,18,3,0,2,10,0,0,13,31,1,0,0,0,0
Rylan Bannon,HOU,2,6,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Scott Barlow,TOT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scott Barlow,KCR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austin Barnes,LAD,59,200,178,15,32,5,0,2,11,2,1,17,43,7,2,1,2,0
Tucker Barnhart*,CHC,43,123,109,6,22,3,0,1,9,1,0,12,42,4,1,0,1,0
Tres Barrera,STL,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
José Barrero,CIN,46,149,133,15,29,8,0,2,17,3,2,15,44,1,0,0,1,0
Joey Bart,SFG,30,95,87,9,18,5,0,0,5,0,0,3,23,0,4,0,1,0
Osleivis Basabe,TBR,31,94,87,15,19,5,0,1,12,0,1,6,25,2,1,0,0,0
Matthew Batten,SDP,43,139,120,19,31,6,0,2,11,2,2,17,30,0,1,1,0,0
Brett Baty*,NYM,108,389,353,41,75,12,0,9,34,2,0,29,109,8,2,1,1,0
Jake Bauers*,NYY,84,272,242,28,49,15,0,12,30,3,2,27,95,3,0,0,3,0
Mike Baumann,BAL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt Beaty*,TOT,30,72,61,8,14,4,0,0,4,0,0,6,14,1,5,0,0,0
Matt Beaty*,SFG,4,5,5,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0
Matt Beaty*,KCR,26,67,56,7,13,4,0,0,3,0,0,6,12,1,5,0,0,0
Josh Bell#,TOT,150,617,547,52,135,28,0,22,74,0,1,63,134,13,2,0,3,2
Josh Bell#,CLE,97,393,347,26,81,19,0,11,48,0,1,43,81,7,1,0,2,1
Josh Bell#,MIA,53,224,200,26,54,9,0,11,26,0,0,20,53,6,1,0,1,1
Cody Bellinger*,CHC,130,556,499,95,153,29,1,26,97,20,6,40,87,7,5,0,12,3
Brandon Belt*,TOR,103,404,339,53,86,23,0,19,43,0,0,61,141,5,2,0,2,1
Anthony Bemboom*,BAL,6,13,11,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0
Andrew Benintendi*,CHW,151,621,562,72,147,34,2,5,45,13,2,52,89,12,3,1,3,5
Will Benson*,CIN,108,329,287,51,79,15,8,11,31,19,3,40,103,3,1,0,1,0
José Berríos,TOR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jon Berti,MIA,133,424,388,53,114,16,3,7,33,16,6,29,77,10,2,2,3,2
Christian Bethancourt,TBR,104,332,315,49,71,16,0,11,33,1,0,13,91,6,0,1,3,0
Mookie Betts,LAD,152,693,584,126,179,40,1,39,107,14,3,96,107,5,8,0,5,3
Bo Bichette,TOR,135,601,571,69,175,30,3,20,73,5,3,27,115,14,2,0,1,0
Cavan Biggio*,TOR,111,338,289,54,68,12,0,9,40,5,2,40,88,0,7,0,2,0
Charlie Blackmon*,COL,96,413,359,57,100,24,5,8,40,4,1,39,55,6,11,0,4,0
Dairon Blanco,KCR,69,138,124,19,32,7,4,3,18,24,5,10,33,2,2,2,0,0
Travis Blankenhorn*,WSN,10,37,31,2,5,0,0,1,1,0,0,6,6,0,0,0,0,0
JJ Bleday*,OAK,82,303,256,35,50,11,0,10,27,5,1,42,72,3,2,0,3,0
Xander Bogaerts,SDP,155,665,596,83,170,31,2,19,58,19,2,56,110,21,7,0,6,0
Alec Bohm,PHI,145,611,558,74,153,31,0,20,97,4,1,42,94,23,5,0,6,1
Sean Bouchard,COL,21,43,38,11,12,2,0,4,7,0,1,4,14,0,0,0,1,0
Jackie Bradley Jr.*,KCR,43,113,105,10,14,5,0,1,6,0,0,5,29,3,2,1,0,0
Michael Brantley*,HOU,15,57,54,7,15,2,0,2,7,0,0,2,2,2,0,0,1,0
Matt Brash,SEA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Brasier,TOT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Brasier,LAD,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Bregman,HOU,161,724,622,103,163,28,4,25,98,3,1,92,87,22,8,0,2,1
Will Brennan*,CLE,138,455,432,41,115,24,0,5,41,13,5,16,57,4,5,0,2,2
Jonah Bride,OAK,40,106,88,9,15,3,0,0,7,0,1,11,22,3,4,1,2,0
Mike Brosseau,MIL,29,78,73,4,15,2,0,4,8,0,0,4,20,2,1,0,0,0
Seth Brown*,OAK,112,378,343,33,76,19,1,14,52,3,1,30,101,6,2,1,2,1
Vidal Bruján#,TBR,37,84,76,14,13,2,0,0,6,3,2,5,21,1,2,1,0,0
Kris Bryant,COL,80,335,300,36,70,10,0,10,31,0,0,29,68,6,6,0,0,0
J.B. Bukauskas,TOT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J.B. Bukauskas,SEA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaron Bummer*,CHW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peyton Burdick,MIA,14,37,33,4,6,2,0,1,2,1,0,3,18,0,1,0,0,0
Jake Burger,TOT,141,540,492,71,123,28,1,34,80,1,1,32,149,4,12,0,4,0
Jake Burger,CHW,88,323,294,44,63,15,1,25,52,1,1,22,102,3,5,0,2,0
Jake Burger,MIA,53,217,198,27,60,13,0,9,28,0,0,10,47,1,7,0,2,0
Alec Burleson*,STL,107,347,315,34,77,20,1,8,36,3,1,23,45,13,3,1,2,0
Michael Busch*,LAD,27,81,72,9,12,3,0,2,7,1,0,8,27,0,0,0,1,0
Lawrence Butler*,OAK,42,129,123,10,26,4,0,4,10,0,0,4,35,5,1,0,1,0
Byron Buxton,MIN,85,347,304,49,63,17,1,17,42,9,0,35,109,3,4,0,4,2
José Caballero,SEA,104,280,231,37,51,9,1,4,26,26,3,28,66,0,17,0,4,0
Trey Cabbage*,LAA,22,56,53,5,11,3,0,1,7,1,1,2,26,1,0,0,1,0
Génesis Cabrera*,TOT,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Génesis Cabrera*,STL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miguel Cabrera,DET,98,370,334,21,86,20,0,4,34,0,0,31,74,11,2,0,3,0
Oswaldo Cabrera#,NYY,115,330,298,35,63,11,0,5,29,8,0,25,72,6,2,3,2,1
Kole Calhoun*,CLE,43,174,157,18,34,7,0,6,25,0,1,13,37,3,2,0,2,0
Willie Calhoun*,NYY,44,149,134,16,32,7,0,5,16,0,0,14,20,2,0,0,1,1
Alex Call,WSN,128,439,375,43,75,14,1,8,38,9,8,53,78,1,6,3,2,0
