Name,Tm,WAR
CJ Abrams*,WSN,3.4
José Abreu,HOU,0
Wilyer Abreu*,BOS,0.8
Ronald Acuna Jr.,ATL,8.2
Willy Adames,MIL,3
Jordyn Adams,LAA,-0.7
Riley Adams,WSN,1
Ty Adcock,SEA,0
Jo Adell,LAA,0.3
Ehire Adrianza#,ATL,-0.3
Jesús Aguilar,OAK,-0.6
Nick Ahmed,ARI,-0.1
Hanser Alberto,CHW,0.3
Ozzie Albies#,ATL,4.7
Scott Alexander*,SFG,0
Jorge Alfaro,2TM,-0.4
Greg Allen#,NYY,0
Nick Allen,OAK,0.3
Abraham Almonte#,NYM,-0.3
Pete Alonso,NYM,3.2
José Altuve,HOU,2.8
Jake Alu*,WSN,-0.1
Francisco Álvarez,NYM,1
Yordan Álvarez*,HOU,4.6
Jacob Amaya,MIA,0
Miguel Amaya,CHC,0.2
Brian Anderson,MIL,0.5
Tim Anderson,CHW,-2
Elvis Andrus,CHW,0.6
Miguel Andújar,PIT,0
Jonathan Aranda*,TBR,0.2
Jonathan Araúz#,NYM,-0.3
Orlando Arcia,ATL,1.6
Nolan Arenado,STL,2.4
Gabriel Arias,CLE,-0.1
Randy Arozarena,TBR,3.5
Luis Arráez*,MIA,4.9
Christian Arroyo,BOS,-0.2
José Azocar,SDP,0.1
Akil Baddoo*,DET,0.6
Harrison Bader,2TM,0.6
Ji Hwan Bae*,PIT,-0.4
Javier Báez,DET,0.6
Patrick Bailey#,SFG,0.8
Bryan Baker,BAL,0
Luken Baker,STL,-0.4
Rylan Bannon,HOU,-0.2
Scott Barlow,KCR,0
Austin Barnes,LAD,-1.1
Tucker Barnhart*,CHC,-0.6
Tres Barrera,STL,0
José Barrero,CIN,-0.5
Joey Bart,SFG,-0.4
Osleivis Basabe,TBR,0.4
Matthew Batten,SDP,0.4
Brett Baty*,NYM,-0.8
Jake Bauers*,NYY,-0.9
Mike Baumann,BAL,0
Matt Beaty*,2TM,-0.2
Josh Bell#,2TM,0.4
Cody Bellinger*,CHC,4.4
Brandon Belt*,TOR,2
Anthony Bemboom*,BAL,0
Andrew Benintendi*,CHW,0.2
Will Benson*,CIN,1.6
José Berríos,TOR,0
Jon Berti,MIA,2.4
Christian Bethancourt,TBR,0.7
Mookie Betts,LAD,8.3
Bo Bichette,TOR,4.9
Cavan Biggio*,TOR,0.8
Charlie Blackmon*,COL,1.3
Dairon Blanco,KCR,1.2
Travis Blankenhorn*,WSN,-0.1
JJ Bleday*,OAK,0
Xander Bogaerts,SDP,4.4
Alec Bohm,PHI,0.4
Sean Bouchard,COL,0.6
Jackie Bradley Jr.*,KCR,-0.3
Michael Brantley*,HOU,0.1
Matt Brash,SEA,0
Ryan Brasier,LAD,0
Alex Bregman,HOU,4.9
Will Brennan*,CLE,0.5
Jonah Bride,OAK,-0.4
Mike Brosseau,MIL,-0.4
Seth Brown*,OAK,0.5
Vidal Bruján#,TBR,-0.4
Kris Bryant,COL,-1
J.B. Bukauskas,SEA,0
Aaron Bummer*,CHW,0
Peyton Burdick,MIA,0
Jake Burger,2TM,2.5
Alec Burleson*,STL,-0.6
Michael Busch*,LAD,-0.5
Lawrence Butler*,OAK,-0.5
Byron Buxton,MIN,0.8
José Caballero,SEA,2.4
Trey Cabbage*,LAA,-0.3
Génesis Cabrera*,STL,0
Miguel Cabrera,DET,-0.4
Oswaldo Cabrera#,NYY,-1.5
Kole Calhoun*,CLE,0.1
Willie Calhoun*,NYY,-0.2
Alex Call,WSN,1.1
Johan Camargo#,SFG,-0.2
Junior Caminero,TBR,0
Luis Campusano,SDP,1.1
Alexander Canario,CHC,-0.1
Jeimer Candelario#,2TM,2.9
Mark Canha,2TM,2.2
Yennier Cano,BAL,0
Dominic Canzone*,2TM,-0.1
Conner Capel*,OAK,0.4
Vinny Capra,PIT,-0.1
Víctor Caratini#,MIL,0.7
Dylan Carlson#,STL,0.5
Kerry Carpenter*,DET,1.9
Matt Carpenter*,SDP,-0.3
Corbin Carroll*,ARI,5.4
Evan Carter*,TEX,1.6
Curt Casali,CIN,0.1
Triston Casas*,BOS,2.2
Nick Castellanos,PHI,1.5
Diego Castillo,ARI,
Harold Castro*,COL,-1.4
Miguel Castro,ARI,0
Rodolfo Castro#,2TM,-0.5
Willi Castro#,MIN,2.7
Jake Cave*,PHI,-0.2
Andrew Chafin,ARI,0
Yu Chang,BOS,0.1
Aroldis Chapman*,KCR,0
Matt Chapman,TOR,4.4
Michael Chavis,WSN,0.5
Jazz Chisholm Jr.*,MIA,1.2
Ji Man Choi*,2TM,-0.4
Taylor Clarke,KCR,0
Kody Clemens*,PHI,0
Ernie Clement,TOR,1
Oscar Colás*,CHW,-1.5
Dylan Coleman,KCR,0
Zack Collins*,CLE,0.1
Michael Conforto*,SFG,0.7
William Contreras,MIL,3.8
Willson Contreras,STL,3.4
Garrett Cooper,2TM,0
Franchy Cordero*,NYY,-0.1
Carlos Correa,MIN,1.4
Danny Coulombe*,BAL,0
Colton Cowser*,BAL,-0.8
Austin Cox*,KCR,0
Brandon Crawford*,SFG,-1.3
J.P. Crawford*,SEA,5.1
Kutter Crawford,BOS,0
C.J. Cron,2TM,-0.5
Jake Cronenworth*,SDP,1
Tyler Cropley,KCR,-0.1
Pete Crow-Armstrong*,CHC,-0.1
Nelson Cruz,SDP,-0.3
Oneil Cruz*,PIT,0.2
Charlie Culberson,ATL,0
Travis d'Arnaud,ATL,0.2
David Dahl*,SDP,0
Bobby Dalbec,BOS,-0.2
Henry Davis,PIT,-1.4
J.D. Davis,SFG,0.9
Jonathan Davis,MIA,0
Yonathan Daza,COL,-0.4
Bryan De La Cruz,MIA,-0.3
Elly De La Cruz#,CIN,0.8
José De León,MIN,
Paul DeJong,3TM,-0.5
Jason Delay,PIT,0
Jonny DeLuca,LAD,0.3
Rafael Devers*,BOS,3.5
Aledmys Díaz,OAK,-0.9
Alexis Díaz,CIN,0
Elías Díaz,COL,1.4
Isan Díaz*,2TM,-0.2
Jordan Diaz,OAK,-1.1
Yainer Diaz,HOU,3.2
Yandy Díaz,TBR,5.2
Corey Dickerson*,WSN,-0.6
Brandon Dixon,SDP,-0.2
Jasson Domínguez#,NYY,0.2
Josh Donaldson,2TM,0.1
Brendan Donovan*,STL,1.9
Camilo Doval,SFG,0
Jeter Downs,WSN,0.1
Brenton Doyle,COL,0.9
Hunter Dozier,KCR,-0.1
Brandon Drury,LAA,1.9
Daniel Duarte,CIN,0
Mauricio Dubón,HOU,2.7
Matt Duffy,KCR,0.3
Ezequiel Duran,TEX,0.9
Jarren Duran*,BOS,2.1
Adam Duvall,BOS,1.6
Nate Eaton,KCR,-0.6
Cam Eden,TOR,-0.1
Tommy Edman#,STL,2.1
